S_no_vax_0,S_no_vax_1,S_no_vax_2,S_no_vax_3,S_vax_0,S_vax_1,S_vax_2,S_vax_3,E_wild_0,E_wild_1,E_wild_2,E_wild_3,E_VOC_0,E_VOC_1,E_VOC_2,E_VOC_3,E_wild_vax_0,E_wild_vax_1,E_wild_vax_2,E_wild_vax_3,E_VOC_vax_0,E_VOC_vax_1,E_VOC_vax_2,E_VOC_vax_3,I_p_wild_0,I_p_wild_1,I_p_wild_2,I_p_wild_3,I_p_VOC_0,I_p_VOC_1,I_p_VOC_2,I_p_VOC_3,I_p_wild_vax_0,I_p_wild_vax_1,I_p_wild_vax_2,I_p_wild_vax_3,I_p_VOC_vax_0,I_p_VOC_vax_1,I_p_VOC_vax_2,I_p_VOC_vax_3,I_as_wild_0,I_as_wild_1,I_as_wild_2,I_as_wild_3,I_as_VOC_0,I_as_VOC_1,I_as_VOC_2,I_as_VOC_3,I_as_wild_vax_0,I_as_wild_vax_1,I_as_wild_vax_2,I_as_wild_vax_3,I_as_VOC_vax_0,I_as_VOC_vax_1,I_as_VOC_vax_2,I_as_VOC_vax_3,I_ps_wild_0,I_ps_wild_1,I_ps_wild_2,I_ps_wild_3,I_ps_VOC_0,I_ps_VOC_1,I_ps_VOC_2,I_ps_VOC_3,I_ps_wild_vax_0,I_ps_wild_vax_1,I_ps_wild_vax_2,I_ps_wild_vax_3,I_ps_VOC_vax_0,I_ps_VOC_vax_1,I_ps_VOC_vax_2,I_ps_VOC_vax_3,I_ms_wild_0,I_ms_wild_1,I_ms_wild_2,I_ms_wild_3,I_ms_VOC_0,I_ms_VOC_1,I_ms_VOC_2,I_ms_VOC_3,I_ms_wild_vax_0,I_ms_wild_vax_1,I_ms_wild_vax_2,I_ms_wild_vax_3,I_ms_VOC_vax_0,I_ms_VOC_vax_1,I_ms_VOC_vax_2,I_ms_VOC_vax_3,I_ss_wild_0,I_ss_wild_1,I_ss_wild_2,I_ss_wild_3,I_ss_VOC_0,I_ss_VOC_1,I_ss_VOC_2,I_ss_VOC_3,I_ss_wild_vax_0,I_ss_wild_vax_1,I_ss_wild_vax_2,I_ss_wild_vax_3,I_ss_VOC_vax_0,I_ss_VOC_vax_1,I_ss_VOC_vax_2,I_ss_VOC_vax_3,H_wild_0,H_wild_1,H_wild_2,H_wild_3,H_VOC_0,H_VOC_1,H_VOC_2,H_VOC_3,H_wild_vax_0,H_wild_vax_1,H_wild_vax_2,H_wild_vax_3,H_VOC_vax_0,H_VOC_vax_1,H_VOC_vax_2,H_VOC_vax_3,R_wild_0,R_wild_1,R_wild_2,R_wild_3,R_VOC_0,R_VOC_1,R_VOC_2,R_VOC_3,R_wild_vax_0,R_wild_vax_1,R_wild_vax_2,R_wild_vax_3,R_VOC_vax_0,R_VOC_vax_1,R_VOC_vax_2,R_VOC_vax_3
1385686.0,1248594.0,5061515,1659645,0.0,0.0,0.0,0.0,1081,1986,8584,1126,896,1917,8546,1032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481,816,3581,458,387,750,3141,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299,582,2504,323,189,394,1775,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495,847,715,95,337,691,515,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2983,280,0.0,0.0,1965,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,132,0.0,0.0,117,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,155,0.0,0.0,125,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196754,286809,2123766,221638,3395,6614,29949,4008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1361816.0,1237704.0,5099385,1638621,0.0,0.0,0.0,0.0,1081,1998,9382,1052,939,1558,8054,1073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452,875,4345,525,345,699,3259,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299,598,2767,339,226,415,1964,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489,926,821,84,284,577,477,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3116,251,0.0,0.0,1747,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,125,0.0,0.0,121,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,134,0.0,0.0,123,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220631,298234,2081462,243072,3438,6416,32746,3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1379454.0,1219887.0,5055606,1652437,0.0,0.0,0.0,0.0,1001,2016,8694,1118,858,1767,7767,917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484,872,3505,459,411,738,2593,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,559,2541,318,191,366,1806,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528,814,818,113,339,698,577,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3133,279,0.0,0.0,2101,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,140,0.0,0.0,141,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,123,0.0,0.0,98,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202757,315588,2128424,229332,3702,6695,31944,3698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372780.0,1247690.0,4999320,1661413,0.0,0.0,0.0,0.0,932,1820,8930,1215,908,1601,8950,1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,855,3765,525,374,734,3145,417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,590,2650,270,202,398,1742,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475,922,652,83,316,642,551,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3330,229,0.0,0.0,2118,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,124,0.0,0.0,135,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,128,0.0,0.0,125,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209973,287822,2185276,220414,3265,6926,29082,3487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1375045.0,1239543.0,5154818,1636721,0.0,0.0,0.0,0.0,1064,1997,9330,1130,938,1626,8367,848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448,828,3551,530,432,747,3059,385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297,593,2643,330,226,409,1794,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481,903,829,111,362,675,531,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2619,258,0.0,0.0,2009,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,117,0.0,0.0,135,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,149,0.0,0.0,145,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207519,296106,2030812,245753,3188,6573,29100,2984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1387312.0,1220357.0,5109107,1641397,0.0,0.0,0.0,0.0,1006,1998,8764,1149,833,2053,7121,1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396,829,4077,481,376,793,3053,364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285,540,2937,352,202,419,1812,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471,863,770,104,304,654,509,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582,236,0.0,0.0,1725,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,113,0.0,0.0,117,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,152,0.0,0.0,105,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195343,315294,2078959,240446,3472,6200,28107,3490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362545.0,1258154.0,4942509,1640065,0.0,0.0,0.0,0.0,1037,2057,8899,1114,777,1657,8815,977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,847,4183,510,365,644,2934,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,599,2794,353,173,358,1965,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441,890,837,96,342,598,540,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920,297,0.0,0.0,2158,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,117,0.0,0.0,128,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,146,0.0,0.0,111,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220059,276863,2238559,241827,3529,7333,32375,3452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1390678.0,1236227.0,4953228,1641174,0.0,0.0,0.0,0.0,1077,1829,8890,1113,995,1886,7450,1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420,849,4013,521,392,716,3213,359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,594,2783,325,235,425,1851,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,836,702,82,295,543,516,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2951,242,0.0,0.0,2091,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,105,0.0,0.0,158,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,128,0.0,0.0,118,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192283,299293,2229843,240724,2868,6802,31963,3486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1389312.0,1197682.0,5016701,1671546,0.0,0.0,0.0,0.0,947,1916,8415,1117,917,1756,7778,884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457,855,4053,457,363,643,3146,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277,620,2562,332,215,420,1483,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433,832,836,103,325,604,468,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2980,282,0.0,0.0,1892,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,131,0.0,0.0,153,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,142,0.0,0.0,117,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193093,338093,2169384,210446,3661,6579,29772,3479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1368267.0,1250254.0,5045186,1661452,0.0,0.0,0.0,0.0,1153,2036,9574,1108,955,2016,8297,993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,943,3409,479,360,774,2740,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,609,2738,324,204,395,1467,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,862,746,87,360,597,502,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091,287,0.0,0.0,1920,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,134,0.0,0.0,134,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,136,0.0,0.0,115,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214229,284476,2141504,220559,3248,7038,28355,3397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
