reg;ss_children;ss_adoles;ss_adults;ss_seniors;beta;alpha_LD;delay;lag;suscep-wuhan;suscep-VOC;SI;adu-sen-adj-factor;infectious-period;compartment-W;population;seasonality;loglikelihood
France;0.0;0.0;4.0;27.0;0.09;1.17;2;34;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.0;4.0;27.0;0.085;1.25;1;38;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.0;3.7;31.8;0.08199999999999999;1.32;1;30;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.0;2.3;19.9;0.0835;1.29;1;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.0;2.5;21.2;0.083;1.3;1;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.0;2.6;22.7;0.084;1.27;1;40;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
11;0.0;0.0;4.0;27.0;0.08977876;1.195184;1;29;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
11;0.0;0.0;2.3;19.9;0.0885;1.25;1;32;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.0;2.85;24.5;0.0845;1.29;1;39;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.0;2.96;25.4;0.0846;1.28;1;39;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
11;0.0;0.0;2.85;24.5;0.0885;1.25;1;32;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
11;0.0;0.0;2.96;25.4;0.0895;1.23;1;30;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
75;0.0;0.0;2.96;25.4;0.0855;1.3;1;18;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.2;3.1;20.8;0.081;1.32;1;42;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.2;3.1;20.8;0.085;1.27;1;39;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.2;3.2;21.6;0.08199999999999999;1.29;1;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.2;3.3000000000000003;22.5;0.08199999999999999;1.28;1;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
France;0.0;0.3;3.5000000000000004;23.5;0.083;1.28;1;40;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50;;2.3;no;old;no;
