ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,adu+sen-median,adu+sen-p1,adu+sen-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-17
0.0,0.0,1.858396295393604e-05,0.0,0.0,3.145643284051588e-05,1.6268980477223426e-05,5.422993492407809e-06,2.7114967462039044e-05,7.433286255853713e-06,0.0,2.229985876756114e-05,1.0786322942508899e-05,4.622709832503813e-06,2.0031742607516528e-05,1.3907376870045497e-05,3.973536248584428e-06,2.1854449367214352e-05,2020-01-18
0.0,0.0,2.4372410431391666e-05,1.572821642025794e-05,0.0,4.718464926077383e-05,3.253796095444685e-05,1.755694143167028e-05,5.294197396963121e-05,1.4866572511707426e-05,7.433286255853713e-06,3.716643127926857e-05,2.465445244002034e-05,1.3791084333636376e-05,3.544077538252924e-05,2.8808137802237102e-05,1.589414499433771e-05,4.2765183875389884e-05,2020-01-19
1.2186205215695833e-05,0.0,3.65586156470875e-05,1.572821642025794e-05,0.0,5.5441962881409113e-05,4.8806941431670285e-05,2.982646420824295e-05,7.734544468546636e-05,2.973314502341485e-05,7.433286255853713e-06,5.203300379097599e-05,3.698167866003051e-05,2.311354916251907e-05,5.239071143504322e-05,4.3708898734428704e-05,2.582798561579878e-05,6.357657997735084e-05,2020-01-20
1.2186205215695833e-05,0.0,4.874482086278333e-05,1.572821642025794e-05,0.0,7.864108210128971e-05,6.23644251626898e-05,3.796095444685466e-05,9.903741865509759e-05,3.716643127926857e-05,1.4866572511707426e-05,6.689957630268342e-05,5.0079356518791315e-05,2.9277162272524154e-05,7.484937670462421e-05,5.7616275604474205e-05,3.377505811296764e-05,8.354359962648755e-05,2020-01-21
1.2186205215695833e-05,0.0,5.514257860102354e-05,3.145643284051588e-05,0.0,9.436929852154765e-05,8.405639913232104e-05,4.609544468546638e-05,0.00013299891540130148,4.459971753512228e-05,1.4866572511707426e-05,8.919943507024456e-05,6.317703437755212e-05,3.844553677365672e-05,9.407214509145258e-05,7.549718872310413e-05,4.4652613593467504e-05,0.00011428883634990959,2020-01-22
1.827930782354375e-05,0.0,6.732878381671936e-05,4.718464926077383e-05,0.0,0.00011835482856244088,0.00010710412147505423,5.5517895878524953e-05,0.0001695363340563991,5.94662900468297e-05,2.229985876756114e-05,0.00011149929383780569,8.166787370756737e-05,4.306824660616053e-05,0.000124890210641478,9.437148590388016e-05,5.061291796634415e-05,0.0001461764647447996,2020-01-23
2.4372410431391666e-05,0.0,7.3117231294175e-05,6.291286568103177e-05,0.0,0.00015728216420257942,0.00013286334056399133,6.622830802603036e-05,0.00021420824295010846,7.433286255853713e-05,2.973314502341485e-05,0.00013379915260536683,0.00010247006795383454,5.3700479220919306e-05,0.00015108556635899962,0.00011721931933324061,6.0447420181590604e-05,0.0001827826674348837,2020-01-24
2.4372410431391666e-05,0.0,8.530343650987083e-05,7.864108210128971e-05,0.0,0.00021272412708398853,0.00016675704989154013,8.53443600867679e-05,0.0002563042299349241,9.663272132609826e-05,4.459971753512228e-05,0.00015609901137292797,0.00012866542367135614,6.93406474875572e-05,0.00019041712251721956,0.00015198776150835436,7.947072497168855e-05,0.00022659090457552696,2020-01-25
3.65586156470875e-05,5.788447477455521e-06,0.00010388739946380686,0.00010223340673167663,7.470902799622524e-06,0.00025990877634476234,0.00020607375271149673,0.00011103579175704991,0.00032151572668112795,0.00011149929383780569,5.94662900468297e-05,0.00020460120419237338,0.00015871303758263093,9.002727398801177e-05,0.00023614342727706967,0.0001867562036834681,0.00010519937218127272,0.0002824190888681381,2020-01-26
