,0,1,2,3,4,p1,median,p2,time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-03
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-04
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-05
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-06
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-07
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-08
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-09
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-10
8,98.0,179.0,132.0,146.0,96.0,96.2,132.0,175.7,2021-10-11
9,88.0,189.0,127.0,154.0,101.0,89.3,127.0,185.5,2021-10-12
10,96.0,203.0,183.0,197.0,96.0,96.0,183.0,202.4,2021-10-13
11,93.0,222.0,145.0,191.0,102.0,93.9,145.0,218.9,2021-10-14
12,83.0,190.0,148.0,181.0,103.0,85.0,148.0,189.1,2021-10-15
13,101.0,206.0,183.0,204.0,131.0,104.0,183.0,205.8,2021-10-16
14,108.0,186.0,193.0,195.0,106.0,106.2,186.0,194.8,2021-10-17
15,111.0,219.0,168.0,209.0,136.0,113.5,168.0,218.0,2021-10-18
16,116.0,208.0,192.0,219.0,123.0,116.7,192.0,217.9,2021-10-19
17,96.0,212.0,194.0,229.0,108.0,97.2,194.0,227.3,2021-10-20
18,126.0,244.0,202.0,229.0,124.0,124.2,202.0,242.5,2021-10-21
19,112.0,241.0,202.0,229.0,136.0,114.4,202.0,239.8,2021-10-22
20,123.0,238.0,208.0,240.0,137.0,124.4,208.0,239.8,2021-10-23
21,147.0,264.0,248.0,243.0,139.0,139.8,243.0,262.4,2021-10-24
22,133.0,263.0,219.0,259.0,153.0,135.0,219.0,262.6,2021-10-25
23,155.0,271.0,237.0,290.0,187.0,158.2,237.0,288.1,2021-10-26
24,166.0,274.0,215.0,281.0,164.0,164.2,215.0,280.3,2021-10-27
25,154.0,293.0,264.0,295.0,135.0,136.9,264.0,294.8,2021-10-28
26,160.0,289.0,255.0,323.0,171.0,161.1,255.0,319.6,2021-10-29
27,177.0,285.0,256.0,319.0,172.0,172.5,256.0,315.6,2021-10-30
28,164.0,301.0,265.0,330.0,174.0,165.0,265.0,327.1,2021-10-31
29,153.0,274.0,267.0,319.0,192.0,156.9,267.0,314.5,2021-11-01
30,177.0,297.0,241.0,274.0,198.0,179.1,241.0,294.7,2021-11-02
31,174.0,256.0,230.0,301.0,194.0,176.0,230.0,296.5,2021-11-03
32,164.0,268.0,238.0,275.0,172.0,164.8,238.0,274.3,2021-11-04
33,181.0,267.0,270.0,279.0,187.0,181.6,267.0,278.1,2021-11-05
34,199.0,311.0,239.0,301.0,176.0,178.3,239.0,310.0,2021-11-06
35,188.0,280.0,260.0,300.0,204.0,189.6,260.0,298.0,2021-11-07
36,177.0,295.0,276.0,270.0,151.0,153.6,270.0,293.1,2021-11-08
37,173.0,283.0,279.0,283.0,179.0,173.6,279.0,283.0,2021-11-09
38,186.0,291.0,260.0,292.0,198.0,187.2,260.0,291.9,2021-11-10
39,181.0,303.0,273.0,284.0,219.0,184.8,273.0,301.1,2021-11-11
40,180.0,331.0,286.0,327.0,189.0,180.9,286.0,330.6,2021-11-12
41,195.0,324.0,313.0,339.0,200.0,195.5,313.0,337.5,2021-11-13
42,220.0,305.0,281.0,339.0,243.0,222.3,281.0,335.6,2021-11-14
43,226.0,350.0,288.0,337.0,244.0,227.8,288.0,348.7,2021-11-15
44,225.0,369.0,366.0,380.0,247.0,227.2,366.0,378.9,2021-11-16
45,227.0,329.0,359.0,370.0,259.0,230.2,329.0,368.9,2021-11-17
46,266.0,366.0,370.0,387.0,259.0,259.7,366.0,385.3,2021-11-18
47,249.0,380.0,348.0,405.0,287.0,252.8,348.0,402.5,2021-11-19
48,286.0,395.0,411.0,396.0,354.0,292.8,395.0,409.5,2021-11-20
49,311.0,430.0,437.0,453.0,352.0,315.1,430.0,451.4,2021-11-21
50,327.0,448.0,415.0,497.0,334.0,327.7,415.0,492.1,2021-11-22
51,390.0,534.0,462.0,557.0,367.0,369.3,462.0,554.7,2021-11-23
52,379.0,520.0,523.0,505.0,389.0,380.0,505.0,522.7,2021-11-24
53,373.0,539.0,581.0,572.0,422.0,377.9,539.0,580.1,2021-11-25
54,405.0,592.0,594.0,625.0,433.0,407.8,592.0,621.9,2021-11-26
55,446.0,605.0,656.0,716.0,456.0,447.0,605.0,710.0,2021-11-27
56,499.0,738.0,654.0,736.0,550.0,504.1,654.0,737.8,2021-11-28
57,559.0,736.0,737.0,805.0,609.0,564.0,736.0,798.2,2021-11-29
58,603.0,775.0,826.0,825.0,632.0,605.9,775.0,825.9,2021-11-30
59,708.0,819.0,839.0,884.0,658.0,663.0,819.0,879.5,2021-12-01
60,722.0,881.0,848.0,910.0,747.0,724.5,848.0,907.1,2021-12-02
61,734.0,901.0,971.0,977.0,786.0,739.2,901.0,976.4,2021-12-03
62,797.0,951.0,1068.0,1086.0,861.0,803.4,951.0,1084.2,2021-12-04
63,748.0,990.0,1001.0,1070.0,840.0,757.2,990.0,1063.1,2021-12-05
64,833.0,1003.0,1036.0,1076.0,867.0,836.4,1003.0,1072.0,2021-12-06
65,807.0,938.0,1019.0,1089.0,877.0,814.0,938.0,1082.0,2021-12-07
66,793.0,994.0,1040.0,1077.0,862.0,799.9,994.0,1073.3,2021-12-08
67,811.0,960.0,1098.0,1108.0,932.0,823.1,960.0,1107.0,2021-12-09
68,923.0,997.0,1060.0,1034.0,890.0,893.3,997.0,1057.4,2021-12-10
69,870.0,1006.0,1108.0,1088.0,961.0,879.1,1006.0,1106.0,2021-12-11
70,845.0,1000.0,1083.0,1122.0,917.0,852.2,1000.0,1118.1,2021-12-12
71,930.0,995.0,1059.0,1089.0,874.0,879.6,995.0,1086.0,2021-12-13
72,897.0,952.0,1048.0,1018.0,930.0,900.3,952.0,1045.0,2021-12-14
73,917.0,994.0,1053.0,1101.0,938.0,919.1,994.0,1096.2,2021-12-15
74,894.0,973.0,1019.0,1050.0,968.0,901.4,973.0,1046.9,2021-12-16
75,874.0,936.0,1016.0,1039.0,1030.0,880.2,1016.0,1038.1,2021-12-17
76,904.0,948.0,1057.0,1063.0,936.0,907.2,948.0,1062.4,2021-12-18
77,907.0,865.0,989.0,993.0,945.0,869.2,945.0,992.6,2021-12-19
78,924.0,897.0,979.0,975.0,889.0,889.8,924.0,978.6,2021-12-20
79,930.0,870.0,929.0,981.0,930.0,875.9,930.0,975.9,2021-12-21
80,910.0,904.0,962.0,936.0,942.0,904.6,936.0,960.0,2021-12-22
81,937.0,795.0,957.0,956.0,925.0,808.0,937.0,956.9,2021-12-23
82,859.0,817.0,932.0,910.0,917.0,821.2,910.0,930.5,2021-12-24
83,932.0,804.0,893.0,840.0,891.0,807.6,891.0,928.1,2021-12-25
84,844.0,764.0,906.0,831.0,852.0,770.7,844.0,900.6,2021-12-26
85,799.0,705.0,839.0,792.0,861.0,713.7,799.0,858.8,2021-12-27
86,774.0,696.0,754.0,767.0,768.0,701.8,767.0,773.4,2021-12-28
87,804.0,635.0,762.0,739.0,783.0,645.4,762.0,801.9,2021-12-29
88,707.0,604.0,699.0,648.0,715.0,608.4,699.0,714.2,2021-12-30
89,661.0,562.0,705.0,606.0,665.0,566.4,661.0,701.0,2021-12-31
90,612.0,526.0,608.0,558.0,645.0,529.2,608.0,641.7,2022-01-01
91,575.0,467.0,579.0,495.0,542.0,469.8,542.0,578.6,2022-01-02
92,481.0,414.0,506.0,488.0,520.0,420.7,488.0,518.6,2022-01-03
93,454.0,360.0,458.0,449.0,534.0,368.9,454.0,526.4,2022-01-04
94,410.0,345.0,414.0,436.0,469.0,351.5,414.0,465.7,2022-01-05
95,393.0,306.0,375.0,354.0,450.0,310.8,375.0,444.3,2022-01-06
96,373.0,276.0,345.0,300.0,324.0,278.4,324.0,370.2,2022-01-07
97,328.0,222.0,318.0,291.0,329.0,228.9,318.0,328.9,2022-01-08
98,304.0,230.0,268.0,242.0,283.0,231.2,268.0,301.9,2022-01-09
99,250.0,195.0,234.0,192.0,210.0,192.3,210.0,248.4,2022-01-10
100,237.0,182.0,187.0,202.0,240.0,182.5,202.0,239.7,2022-01-11
101,183.0,114.0,187.0,162.0,181.0,118.8,181.0,186.6,2022-01-12
102,176.0,109.0,162.0,120.0,178.0,110.1,162.0,177.8,2022-01-13
103,155.0,93.0,154.0,108.0,152.0,94.5,152.0,154.9,2022-01-14
104,103.0,75.0,88.0,86.0,118.0,76.1,88.0,116.5,2022-01-15
105,92.0,95.0,96.0,79.0,93.0,80.3,93.0,95.9,2022-01-16
106,90.0,59.0,69.0,65.0,84.0,59.6,69.0,89.4,2022-01-17
107,66.0,55.0,64.0,55.0,102.0,55.0,64.0,98.39999999999999,2022-01-18
108,73.0,48.0,58.0,43.0,63.0,43.5,58.0,72.0,2022-01-19
109,66.0,42.0,63.0,42.0,56.0,42.0,56.0,65.7,2022-01-20
110,62.0,30.0,32.0,38.0,41.0,30.2,38.0,59.9,2022-01-21
111,42.0,27.0,46.0,29.0,39.0,27.2,39.0,45.6,2022-01-22
112,31.0,18.0,20.0,20.0,52.0,18.2,20.0,49.9,2022-01-23
113,28.0,21.0,30.0,26.0,25.0,21.4,26.0,29.8,2022-01-24
114,25.0,15.0,13.0,12.0,26.0,12.1,15.0,25.9,2022-01-25
115,22.0,15.0,16.0,19.0,20.0,15.1,19.0,21.8,2022-01-26
116,17.0,7.0,10.0,16.0,24.0,7.3,16.0,23.3,2022-01-27
117,11.0,14.0,12.0,12.0,14.0,11.1,12.0,14.0,2022-01-28
118,8.0,5.0,10.0,13.0,21.0,5.3,10.0,20.2,2022-01-29
119,7.0,8.0,8.0,5.0,8.0,5.2,8.0,8.0,2022-01-30
120,7.0,5.0,7.0,5.0,6.0,5.0,6.0,7.0,2022-01-31
121,6.0,4.0,5.0,3.0,10.0,3.1,5.0,9.6,2022-02-01
122,2.0,5.0,3.0,3.0,2.0,2.0,3.0,4.8,2022-02-02
123,7.0,2.0,5.0,2.0,3.0,2.0,3.0,6.8,2022-02-03
124,1.0,4.0,1.0,1.0,0.0,0.1,1.0,3.6999999999999997,2022-02-04
125,3.0,2.0,0.0,2.0,4.0,0.2,2.0,3.9,2022-02-05
126,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2022-02-06
127,2.0,1.0,1.0,4.0,3.0,1.0,2.0,3.9,2022-02-07
128,1.0,1.0,5.0,2.0,2.0,1.0,2.0,4.699999999999999,2022-02-08
129,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.6999999999999997,2022-02-09
130,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2022-02-10
131,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2022-02-11
132,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.9,2022-02-12
133,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.6999999999999997,2022-02-13
134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,2022-02-14
135,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9,2022-02-15
136,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.9,2022-02-16
137,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,2022-02-17
138,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2022-02-18
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-19
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-20
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-21
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-22
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-23
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-24
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-25
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-26
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-27
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-02-28
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-01
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-02
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-03
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-04
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-05
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-06
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-07
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-08
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-09
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-10
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-11
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-12
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-13
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-14
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-15
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-16
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-17
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-18
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-19
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-20
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-21
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-22
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-23
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-24
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-25
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-26
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-27
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-28
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-29
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-30
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-03-31
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-01
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-02
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-03
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-04
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-04-05
