week,region,asympt,sympt
20,11,205.0,737.0
21,11,169.5,809.5
22,11,165.5,663.0
23,11,184.0,538.0
24,11,169.0,524.5
25,11,167.0,561.0
26,11,154.0,574.0
27,11,232.0,658.0
28,11,239.0,798.0
29,11,315.0,1134.0
30,11,211.0,1051.5
20,24,32.0,94.0
21,24,22.5,120.0
22,24,19.0,85.0
23,24,13.0,43.0
24,24,15.0,46.0
25,24,14.0,49.0
26,24,15.0,44.0
27,24,24.0,52.0
28,24,9.0,41.0
29,24,15.0,59.0
30,24,20.0,81.0
20,27,22.0,118.0
21,27,18.0,90.0
22,27,15.0,56.0
23,27,17.0,53.0
24,27,14.0,37.0
25,27,13.0,37.0
26,27,16.0,35.5
27,27,20.0,61.0
28,27,23.0,64.0
29,27,20.0,64.0
30,27,14.0,55.0
20,28,18.0,55.0
21,28,8.0,56.0
22,28,5.0,38.0
23,28,8.0,40.0
24,28,19.0,59.0
25,28,21.0,121.0
26,28,22.0,112.0
27,28,37.0,88.0
28,28,22.0,76.0
29,28,27.0,80.5
30,28,10.0,64.0
20,32,57.0,308.0
21,32,68.0,368.0
22,32,71.0,290.5
23,32,91.0,264.0
24,32,68.0,228.0
25,32,62.0,182.0
26,32,57.0,225.0
27,32,84.0,239.5
28,32,60.5,247.0
29,32,98.0,374.0
30,32,73.0,316.0
20,44,93.0,323.0
21,44,74.0,349.0
22,44,84.5,260.5
23,44,115.0,303.0
24,44,85.0,242.0
25,44,58.0,184.0
26,44,31.0,135.0
27,44,39.0,113.0
28,44,53.0,133.0
29,44,89.0,265.5
30,44,41.0,215.0
20,52,26.0,127.0
21,52,25.0,166.5
22,52,31.5,160.0
23,52,39.0,107.0
24,52,30.0,86.5
25,52,25.0,77.0
26,52,26.0,96.0
27,52,43.0,165.0
28,52,60.0,253.0
29,52,118.0,385.0
30,52,80.0,407.0
20,53,34.0,80.0
21,53,23.5,117.0
22,53,10.0,61.0
23,53,5.0,29.0
24,53,3.0,18.0
25,53,3.0,16.0
26,53,4.0,23.0
27,53,7.0,28.0
28,53,33.0,127.0
29,53,46.0,167.0
30,53,26.0,141.0
20,75,33.0,114.5
21,75,32.0,139.5
22,75,21.0,87.0
23,75,16.0,45.5
24,75,10.5,44.0
25,75,14.0,32.0
26,75,12.0,43.0
27,75,18.0,60.5
28,75,22.0,87.0
29,75,35.0,119.0
30,75,24.0,116.5
20,76,46.0,165.5
21,76,26.0,125.0
22,76,23.0,80.0
23,76,35.0,74.0
24,76,36.0,133.0
25,76,26.0,90.0
26,76,25.0,106.0
27,76,25.0,77.0
28,76,28.0,108.5
29,76,51.0,156.0
30,76,53.0,221.0
20,84,47.5,204.0
21,84,40.0,236.0
22,84,37.0,159.0
23,84,45.0,119.0
24,84,50.5,155.0
25,84,44.0,154.0
26,84,38.5,181.0
27,84,41.5,176.5
28,84,57.5,247.0
29,84,71.0,314.0
30,84,66.0,325.0
20,93,55.0,164.0
21,93,46.0,176.0
22,93,57.0,139.0
23,93,81.0,161.5
24,93,56.0,137.0
25,93,26.0,103.0
26,93,21.0,73.0
27,93,35.0,137.0
28,93,50.0,198.0
29,93,63.0,223.0
30,93,65.0,233.0
