reg,date,hosp_obs
11,2020-03-01,5
11,2020-03-02,16
11,2020-03-03,10
11,2020-03-04,21
11,2020-03-05,11
11,2020-03-06,31
11,2020-03-07,14
11,2020-03-08,21
11,2020-03-09,47
11,2020-03-10,62
11,2020-03-11,67
11,2020-03-12,100
11,2020-03-13,106
11,2020-03-14,296
11,2020-03-15,247
11,2020-03-16,275
11,2020-03-17,440
11,2020-03-18,503
11,2020-03-19,587
11,2020-03-20,767
11,2020-03-21,634
11,2020-03-22,693
11,2020-03-23,1020
11,2020-03-24,1071
11,2020-03-25,1215
11,2020-03-26,1239
11,2020-03-27,1408
11,2020-03-28,1101
11,2020-03-29,1020
11,2020-03-30,1275
11,2020-03-31,1271
11,2020-04-01,1281
11,2020-04-02,1071
11,2020-04-03,1043
11,2020-04-04,848
11,2020-04-05,585
11,2020-04-06,937
11,2020-04-07,889
11,2020-04-08,824
11,2020-04-09,766
11,2020-04-10,795
11,2020-04-11,591
11,2020-04-12,465
11,2020-04-13,451
11,2020-04-14,572
11,2020-04-15,517
11,2020-04-16,536
11,2020-04-17,492
11,2020-04-18,327
11,2020-04-19,250
11,2020-04-20,359
11,2020-04-21,396
11,2020-04-22,315
11,2020-04-23,362
11,2020-04-24,297
11,2020-04-25,174
11,2020-04-26,144
11,2020-04-27,257
11,2020-04-28,247
11,2020-04-29,214
11,2020-04-30,201
11,2020-05-01,135
11,2020-05-02,117
11,2020-05-03,98
11,2020-05-04,161
11,2020-05-05,171
11,2020-05-06,177
11,2020-05-07,142
11,2020-05-08,93
11,2020-05-09,95
11,2020-05-10,60
11,2020-05-11,103
11,2020-05-12,126
11,2020-05-13,103
11,2020-05-14,107
11,2020-05-15,79
11,2020-05-16,46
11,2020-05-17,56
11,2020-05-18,89
11,2020-05-19,80
11,2020-05-20,64
11,2020-05-21,45
11,2020-05-22,72
11,2020-05-23,37
11,2020-05-24,21
11,2020-05-25,58
11,2020-05-26,64
11,2020-05-27,52
11,2020-05-28,44
11,2020-05-29,32
11,2020-05-30,34
11,2020-05-31,20
11,2020-06-01,21
11,2020-06-02,48
11,2020-06-03,42
11,2020-06-04,29
11,2020-06-05,27
11,2020-06-06,30
11,2020-06-07,11
11,2020-06-08,29
11,2020-06-09,26
11,2020-06-10,33
11,2020-06-11,25
11,2020-06-12,20
11,2020-06-13,14
11,2020-06-14,16
11,2020-06-15,13
11,2020-06-16,25
11,2020-06-17,24
11,2020-06-18,34
11,2020-06-19,42
11,2020-06-20,14
11,2020-06-21,13
11,2020-06-22,20
11,2020-06-23,26
11,2020-06-24,21
11,2020-06-25,23
11,2020-06-26,17
11,2020-06-27,11
11,2020-06-28,15
11,2020-06-29,17
11,2020-06-30,17
11,2020-07-01,20
11,2020-07-02,10
11,2020-07-03,15
11,2020-07-04,11
11,2020-07-05,9
24,2020-03-01,0
24,2020-03-02,0
24,2020-03-03,0
24,2020-03-04,2
24,2020-03-05,1
24,2020-03-06,2
24,2020-03-07,1
24,2020-03-08,1
24,2020-03-09,2
24,2020-03-10,2
24,2020-03-11,4
24,2020-03-12,6
24,2020-03-13,7
24,2020-03-14,7
24,2020-03-15,1
24,2020-03-16,8
24,2020-03-17,14
24,2020-03-18,21
24,2020-03-19,29
24,2020-03-20,21
24,2020-03-21,32
24,2020-03-22,34
24,2020-03-23,42
24,2020-03-24,63
24,2020-03-25,59
24,2020-03-26,75
24,2020-03-27,105
24,2020-03-28,72
24,2020-03-29,57
24,2020-03-30,84
24,2020-03-31,101
24,2020-04-01,86
24,2020-04-02,83
24,2020-04-03,90
24,2020-04-04,74
24,2020-04-05,37
24,2020-04-06,67
24,2020-04-07,74
24,2020-04-08,80
24,2020-04-09,56
24,2020-04-10,74
24,2020-04-11,68
24,2020-04-12,41
24,2020-04-13,32
24,2020-04-14,67
24,2020-04-15,47
24,2020-04-16,44
24,2020-04-17,35
24,2020-04-18,27
24,2020-04-19,22
24,2020-04-20,52
24,2020-04-21,47
24,2020-04-22,30
24,2020-04-23,31
24,2020-04-24,32
24,2020-04-25,30
24,2020-04-26,28
24,2020-04-27,27
24,2020-04-28,34
24,2020-04-29,24
24,2020-04-30,29
24,2020-05-01,20
24,2020-05-02,14
24,2020-05-03,11
