E_ch,E_te,E_ad,E_se,Ip_ch,Ip_te,Ip_ad,Ip_se,Ias_ch,Ias_te,Ias_ad,Ias_se,Ips_ch,Ips_te,Ips_ad,Ips_se,Ims_ch,Ims_te,Ims_ad,Ims_se,Iss_ch,Iss_te,Iss_ad,Iss_se,W_ch,W_te,W_ad,W_se,H_ch,H_te,H_ad,H_se,R_ch,R_te,R_ad,R_se
13736.0,9578.0,18300.0,1752.0,5679.0,3911.0,7807.0,807.0,3137.0,2284.0,4543.0,520.0,3174.0,2228.0,1395.0,158.0,1538.0,1127.0,5098.0,381.0,32.0,6.0,199.0,151.0,48.0,16.0,332.0,248.0,335.0,93.0,3547.0,3630.0,4335011.0,3880529.0,13574146.0,2518610.0
16779.0,11916.0,21290.0,2167.0,6922.0,5069.0,9079.0,907.0,3837.0,2710.0,5152.0,524.0,3878.0,2766.0,1555.0,157.0,1891.0,1336.0,5668.0,386.0,35.0,16.0,201.0,136.0,56.0,6.0,347.0,280.0,325.0,90.0,2925.0,2979.0,3975670.0,3663333.0,12375503.0,2295584.0
13537.0,9596.0,17210.0,1726.0,5504.0,3982.0,7006.0,705.0,2963.0,2017.0,4180.0,411.0,2938.0,2080.0,1254.0,147.0,1486.0,1117.0,4344.0,313.0,30.0,13.0,148.0,119.0,43.0,6.0,276.0,195.0,212.0,54.0,1930.0,1825.0,3695276.0,3523012.0,11137291.0,2084552.0
14235.0,10225.0,19011.0,1986.0,6011.0,4338.0,8120.0,793.0,3372.0,2404.0,4689.0,516.0,3416.0,2336.0,1455.0,137.0,1691.0,1239.0,5236.0,387.0,32.0,9.0,221.0,137.0,46.0,9.0,334.0,261.0,330.0,73.0,3268.0,3375.0,4202012.0,3797134.0,13066374.0,2426322.0
15323.0,11031.0,20080.0,1958.0,6458.0,4669.0,8628.0,828.0,3650.0,2527.0,5054.0,528.0,3579.0,2463.0,1506.0,147.0,1803.0,1221.0,5464.0,355.0,40.0,12.0,219.0,162.0,44.0,20.0,333.0,225.0,328.0,85.0,3179.0,3254.0,4134005.0,3753977.0,12839254.0,2382776.0
15293.0,11075.0,20237.0,2081.0,6380.0,4526.0,8378.0,803.0,3620.0,2642.0,4944.0,504.0,3494.0,2585.0,1457.0,145.0,1707.0,1301.0,5404.0,391.0,28.0,15.0,189.0,176.0,50.0,18.0,328.0,255.0,302.0,87.0,2957.0,2960.0,4056170.0,3719631.0,12515477.0,2327040.0
15828.0,11571.0,20454.0,2065.0,6515.0,4727.0,8568.0,825.0,3642.0,2474.0,4987.0,502.0,3532.0,2588.0,1480.0,157.0,1746.0,1276.0,5362.0,370.0,40.0,12.0,190.0,148.0,44.0,17.0,365.0,240.0,298.0,74.0,2849.0,2787.0,3966045.0,3661758.0,12251331.0,2274931.0
15954.0,11393.0,20922.0,2096.0,6728.0,4828.0,8856.0,856.0,3618.0,2710.0,5025.0,586.0,3652.0,2637.0,1565.0,156.0,1817.0,1313.0,5817.0,366.0,34.0,13.0,222.0,168.0,66.0,19.0,354.0,264.0,366.0,112.0,3257.0,3334.0,4153685.0,3767585.0,12962427.0,2402839.0
15937.0,11356.0,20530.0,2087.0,6713.0,4678.0,8573.0,881.0,3600.0,2571.0,4912.0,523.0,3642.0,2617.0,1469.0,165.0,1750.0,1283.0,5666.0,336.0,44.0,10.0,207.0,164.0,65.0,11.0,348.0,260.0,325.0,85.0,3052.0,2964.0,4034791.0,3704655.0,12554189.0,2328978.0
12759.0,9355.0,17556.0,1787.0,5659.0,3880.0,7655.0,744.0,3095.0,2134.0,4451.0,490.0,3094.0,2187.0,1364.0,125.0,1451.0,1048.0,5018.0,343.0,33.0,9.0,195.0,157.0,56.0,10.0,337.0,263.0,330.0,89.0,3495.0,3695.0,4389087.0,3915963.0,13699303.0,2539776.0
