ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,adu+sen-median,adu+sen-p1,adu+sen-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-16
0.0,0.0,2.4372410431391666e-05,0.0,0.0,3.145643284051588e-05,1.6268980477223426e-05,2.7114967462039046e-06,2.982646420824295e-05,7.433286255853713e-06,0.0,2.229985876756114e-05,1.0786322942508899e-05,4.622709832503813e-06,1.9299813550703407e-05,1.3907376870045497e-05,4.917251107623229e-06,2.3841217491506566e-05,2020-01-17
0.0,0.0,3.65586156470875e-05,1.572821642025794e-05,0.0,3.145643284051588e-05,3.524945770065076e-05,1.6133405639913233e-05,5.436550976138824e-05,1.4866572511707426e-05,0.0,3.716643127926857e-05,2.465445244002034e-05,1.5409032775012712e-05,3.698167866003051e-05,2.9801521864383208e-05,1.4851091729084298e-05,4.47519519996821e-05,2020-01-18
1.2186205215695833e-05,0.0,4.874482086278333e-05,1.572821642025794e-05,0.0,6.291286568103177e-05,4.8806941431670285e-05,2.84029284164859e-05,7.619305856832962e-05,2.229985876756114e-05,7.433286255853713e-06,5.203300379097599e-05,3.852258193753178e-05,2.23045749418309e-05,5.319968565573137e-05,4.3708898734428704e-05,2.7814753740090994e-05,6.670573977311102e-05,2020-01-19
1.2186205215695833e-05,0.0,4.874482086278333e-05,1.572821642025794e-05,0.0,7.117017930166706e-05,6.778741865509762e-05,3.6537418655097615e-05,0.00010188449023861164,3.716643127926857e-05,7.433286255853713e-06,5.94662900468297e-05,4.930890488004068e-05,3.000909132933726e-05,7.169052498574663e-05,5.562950748018199e-05,3.576182623725985e-05,8.647408260981859e-05,2020-01-20
2.4372410431391666e-05,0.0,6.732878381671936e-05,2.3592324630386914e-05,0.0,8.689839572192499e-05,8.676789587852495e-05,4.609544468546638e-05,0.00013028741865509758,4.459971753512228e-05,7.433286255853713e-06,8.566862409871397e-05,6.394748601630275e-05,3.544077538252924e-05,9.634497742576698e-05,7.549718872310413e-05,4.2665845469175294e-05,0.00010832853197703294,2020-01-21
2.4372410431391666e-05,0.0,7.3117231294175e-05,3.145643284051588e-05,0.0,0.00011835482856244088,0.00011117136659436009,5.280639913232105e-05,0.00016967190889370925,5.203300379097599e-05,2.229985876756114e-05,0.00011149929383780569,8.320877698506864e-05,4.3877220826848696e-05,0.00012431237191241497,9.536486996602626e-05,4.966920310730535e-05,0.0001434446585738977,2020-01-22
3.65586156470875e-05,0.0,8.530343650987083e-05,4.718464926077383e-05,0.0,0.00014155394778232148,0.00013828633405639913,6.636388286334057e-05,0.0002107510845986983,7.433286255853713e-05,2.973314502341485e-05,0.00012636586634951313,0.00010478142287008644,5.539547282617071e-05,0.00015027659213831147,0.00012218623964397116,6.347724157113624e-05,0.0001728488268134226,2020-01-23
4.874482086278333e-05,0.0,0.00010388739946380686,6.291286568103177e-05,1.572821642025794e-05,0.00020446681346335325,0.00016946854663774403,8.120932754880694e-05,0.0002603036876355748,8.919943507024456e-05,3.716643127926857e-05,0.00015609901137292797,0.0001294358753101068,6.779974421005593e-05,0.000187258270798342,0.00014801422525976993,7.842767170643514e-05,0.00021382591937694944,2020-01-24
6.093102607847916e-05,0.0,0.00010967584694126249,7.864108210128971e-05,1.572821642025794e-05,0.00023592324630386914,0.00020878524945770066,0.00010147776572668111,0.00031338123644251623,0.00011149929383780569,5.203300379097599e-05,0.00018973463168066594,0.0001579425859438803,8.474968026256992e-05,0.00022967163351156445,0.00018476943555917588,9.432181670077285e-05,0.0002656805674209761,2020-01-25
