ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249999999999915,0.0,0.0,0.0,0.0,0.0,0.5249999999999915,2020-01-20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249999999999915,2020-01-22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-01-23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5249999999999915,0.0,0.0,1.0,2020-01-24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249999999999915,0.0,0.0,1.0,2020-01-25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2020-01-26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249999999999915,0.0,0.0,1.0,0.0,0.0,1.0,2020-01-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2020-01-28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249999999999915,0.0,0.0,1.0,0.0,0.0,1.0,2020-01-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2020-01-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5249999999999915,2020-01-31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2020-02-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2020-02-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2020-02-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2020-02-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,2020-02-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2020-02-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2020-02-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5249999999999915,0.5,0.0,2.5249999999999915,1.0,0.0,3.5249999999999915,2020-02-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,2020-02-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,4.0,2020-02-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,4.5249999999999915,2020-02-11
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,2.0,0.0,7.0,2020-02-12
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5249999999999915,1.0,0.0,4.0,3.0,0.0,7.0,2020-02-13
0.0,0.0,0.0,0.0,0.0,0.5249999999999915,1.0,0.0,3.5249999999999915,2.0,0.0,6.5249999999999915,3.0,0.0,8.0,2020-02-14
