ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-06
19.0,11.0,27.0,5.0,2.0,9.524999999999991,131.5,104.0,154.575,109.5,82.475,130.0,267.0,214.95,303.0,2021-06-07
18.0,12.0,27.52499999999999,4.5,1.475,9.524999999999991,122.0,89.95,141.04999999999998,96.0,71.9,117.0,242.5,182.89999999999998,275.09999999999997,2021-06-08
17.0,9.0,25.0,5.0,1.475,9.0,114.0,85.95,133.0,89.0,68.9,109.57499999999997,229.0,178.85,250.0,2021-06-09
17.0,10.475000000000001,26.0,5.0,2.0,10.0,104.0,83.325,128.0,87.0,64.475,104.57499999999997,213.0,177.425,245.67499999999993,2021-06-10
16.0,9.475000000000001,25.0,4.0,1.0,8.0,102.0,78.475,119.04999999999998,82.0,64.95,99.52499999999999,204.0,166.95,232.52499999999998,2021-06-11
15.0,8.475,23.52499999999999,4.0,0.4750000000000001,9.524999999999991,96.0,69.475,115.04999999999998,80.0,61.9,97.57499999999997,197.0,157.375,225.0,2021-06-12
15.0,6.475,21.52499999999999,4.0,0.4750000000000001,9.0,93.0,68.475,112.04999999999998,74.0,54.0,92.04999999999998,184.0,152.0,217.04999999999998,2021-06-13
15.0,8.0,21.0,4.0,1.0,8.0,85.0,65.425,102.52499999999999,70.5,54.0,94.04999999999998,176.0,140.375,208.67499999999995,2021-06-14
14.0,7.0,22.574999999999974,4.0,0.4750000000000001,8.0,79.0,63.475,99.52499999999999,64.0,47.0,83.0,161.5,135.375,196.0,2021-06-15
13.0,6.0,21.0,4.0,0.4750000000000001,7.5249999999999915,73.0,54.425,94.52499999999999,62.0,44.425,80.0,152.0,122.475,182.0,2021-06-16
12.0,5.0,20.0,3.5,1.0,7.0,71.0,52.475,94.57499999999997,55.5,39.95,70.52499999999999,143.0,109.0,171.04999999999998,2021-06-17
12.0,6.475,19.52499999999999,3.0,0.0,7.0,66.0,47.95,83.0,52.0,34.475,70.0,134.0,97.375,157.04999999999998,2021-06-18
11.0,5.475,18.52499999999999,3.0,0.4750000000000001,8.0,62.0,39.475,77.52499999999999,49.0,34.0,61.52499999999999,126.0,90.475,148.0,2021-06-19
10.0,4.0,18.0,3.0,0.0,6.0,58.0,35.900000000000006,74.04999999999998,44.0,27.475,61.0,118.5,82.475,142.0,2021-06-20
10.0,3.475,17.0,3.0,0.0,7.0,55.0,36.475,67.52499999999999,42.0,29.0,56.04999999999998,110.0,79.475,132.52499999999998,2021-06-21
10.0,5.475,15.524999999999991,3.0,0.0,6.5249999999999915,50.5,35.0,67.52499999999999,40.0,25.0,54.04999999999998,102.5,69.42500000000001,131.52499999999998,2021-06-22
10.0,4.0,16.0,2.0,0.0,5.5249999999999915,48.0,31.950000000000003,59.04999999999998,36.0,24.475,49.52499999999999,96.5,66.80000000000001,124.04999999999998,2021-06-23
8.0,4.0,15.0,2.0,0.0,5.5249999999999915,43.5,27.475,56.52499999999999,33.5,21.0,48.0,89.0,59.475,115.57499999999997,2021-06-24
8.5,3.0,15.524999999999991,2.0,0.0,5.0,42.5,28.0,56.0,31.5,20.475,42.0,84.5,56.8,107.52499999999999,2021-06-25
8.0,4.0,14.524999999999991,2.0,0.0,7.0,40.0,23.0,53.52499999999999,30.0,16.475,43.04999999999998,82.5,45.95,104.0,2021-06-26
8.0,3.0,16.0,2.0,0.0,6.0,37.0,19.475,52.0,29.0,17.0,40.0,78.0,43.0,100.52499999999999,2021-06-27
8.0,2.0,13.524999999999991,2.0,0.0,5.0,36.0,22.475,48.52499999999999,27.0,15.475,39.0,74.5,45.325,93.52499999999999,2021-06-28
7.0,1.475,14.0,2.0,0.0,5.0,34.5,20.475,49.0,27.0,16.0,37.52499999999999,71.0,40.95,94.52499999999999,2021-06-29
