ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-10
33.0,6.0,69.09999999999997,2.0,0.0,7.0,39.0,4.0,80.52499999999999,56.0,9.0,112.52499999999999,129.5,18.95,259.62499999999994,2021-10-11
34.0,4.475,67.52499999999999,2.0,0.0,7.5249999999999915,41.0,5.475,85.52499999999999,58.0,9.475,122.52499999999999,138.0,23.425,266.525,2021-10-12
34.0,4.0,67.52499999999999,2.0,0.0,7.0,40.5,5.95,76.04999999999998,59.0,8.475,120.0,137.0,18.425,264.2499999999999,2021-10-13
35.0,7.475,72.57499999999997,2.0,0.0,6.0,42.0,7.425000000000001,82.57499999999997,63.0,8.475,124.62499999999996,144.5,22.85,279.8249999999999,2021-10-14
40.0,4.475,73.52499999999999,2.0,0.0,6.5249999999999915,46.0,9.0,87.0,60.0,7.475,125.57499999999997,150.5,19.175,278.04999999999995,2021-10-15
40.0,6.475,84.14999999999995,3.0,0.0,7.0,43.5,7.0,95.04999999999998,65.5,8.475,121.04999999999998,155.0,23.85,297.525,2021-10-16
39.5,6.475,75.04999999999998,2.0,0.0,8.0,45.5,6.425000000000001,91.0,68.5,10.95,135.04999999999998,157.5,27.475,301.0,2021-10-17
40.0,8.0,88.57499999999997,2.5,0.0,7.0,49.0,8.0,94.0,70.5,10.475,144.04999999999998,165.0,26.375,321.7249999999999,2021-10-18
44.0,6.475,85.52499999999999,3.0,0.0,7.5249999999999915,51.5,7.475,100.04999999999998,70.0,11.375,151.04999999999998,170.0,24.425,337.525,2021-10-19
