E_ch,E_te,E_ad,E_se,Ip_ch,Ip_te,Ip_ad,Ip_se,Ias_ch,Ias_te,Ias_ad,Ias_se,Ips_ch,Ips_te,Ips_ad,Ips_se,Ims_ch,Ims_te,Ims_ad,Ims_se,Iss_ch,Iss_te,Iss_ad,Iss_se,W_ch,W_te,W_ad,W_se,H_ch,H_te,H_ad,H_se,R_ch,R_te,R_ad,R_se,ABpre_ch,ABpre_te,ABpre_ad,ABpre_se,ABpos_ch,ABpos_te,ABpos_ad,ABpos_se,ABneg_ch,ABneg_te,ABneg_ad,ABneg_se
3225.0,6972.0,12675.0,1220.0,1348.0,2929.0,5403.0,531.0,805.0,1620.0,3282.0,351.0,768.0,1663.0,936.0,101.0,416.0,793.0,3481.0,210.0,4.0,6.0,132.0,109.0,16.0,8.0,232.0,173.0,111.0,68.0,2284.0,2435.0,1611984.0,2270543.0,11336124.0,2597643.0,23368.0,34130.0,98703.0,13138.0,1090633.0,1550374.0,7298691.0,1655798.0,501451.0,693126.0,3954470.0,932617.0
5569.0,12256.0,21726.0,2062.0,2435.0,5006.0,9368.0,861.0,1412.0,2868.0,5391.0,538.0,1393.0,2777.0,1628.0,190.0,631.0,1400.0,6013.0,391.0,9.0,16.0,232.0,177.0,24.0,14.0,372.0,285.0,194.0,102.0,3468.0,3700.0,1567035.0,2180542.0,10823178.0,2437711.0,36732.0,55445.0,155352.0,19934.0,1047066.0,1487053.0,6749974.0,1486966.0,489335.0,650227.0,3944314.0,936953.0
3054.0,6180.0,11690.0,1197.0,1286.0,2511.0,5060.0,496.0,715.0,1437.0,3091.0,310.0,737.0,1408.0,901.0,101.0,365.0,718.0,3295.0,225.0,6.0,7.0,120.0,99.0,9.0,9.0,198.0,169.0,111.0,55.0,2152.0,2493.0,1699632.0,2403280.0,11721647.0,2668220.0,22614.0,31322.0,96733.0,12977.0,1193125.0,1685520.0,7907208.0,1789296.0,487122.0,692583.0,3732513.0,869840.0
5370.0,11713.0,21079.0,2015.0,2313.0,4832.0,8922.0,872.0,1256.0,2670.0,5400.0,567.0,1257.0,2749.0,1581.0,147.0,636.0,1324.0,5797.0,405.0,13.0,5.0,223.0,154.0,27.0,10.0,375.0,272.0,204.0,83.0,3439.0,3645.0,1573524.0,2195859.0,10885920.0,2453895.0,35768.0,54031.0,152498.0,19389.0,1056892.0,1501079.0,6847668.0,1512646.0,486570.0,652422.0,3911481.0,927922.0
5137.0,11252.0,20007.0,1954.0,2163.0,4661.0,8531.0,809.0,1241.0,2667.0,4920.0,509.0,1199.0,2634.0,1477.0,179.0,588.0,1301.0,5466.0,380.0,12.0,11.0,207.0,139.0,22.0,16.0,356.0,233.0,191.0,85.0,3267.0,3514.0,1583024.0,2207718.0,10951046.0,2474284.0,34096.0,51492.0,144426.0,18840.0,1064241.0,1507547.0,6897533.0,1528492.0,490103.0,660054.0,3933301.0,932715.0
4969.0,11243.0,19488.0,1832.0,2176.0,4656.0,8513.0,814.0,1235.0,2677.0,5010.0,514.0,1236.0,2496.0,1428.0,147.0,602.0,1253.0,5411.0,315.0,6.0,8.0,206.0,139.0,22.0,12.0,341.0,254.0,166.0,82.0,3138.0,3454.0,1571383.0,2189406.0,10933710.0,2474872.0,33668.0,50959.0,142757.0,18057.0,1047370.0,1488442.0,6831826.0,1516631.0,495788.0,661189.0,3983164.0,945821.0
8095.0,17742.0,31013.0,2848.0,3368.0,7360.0,13245.0,1261.0,1885.0,4043.0,7685.0,754.0,1912.0,4112.0,2310.0,232.0,879.0,2077.0,8580.0,521.0,18.0,11.0,354.0,237.0,33.0,25.0,518.0,404.0,230.0,143.0,4530.0,4705.0,1511261.0,2084276.0,10373308.0,2305310.0,48428.0,77178.0,207223.0,25603.0,996349.0,1412857.0,6296805.0,1353037.0,474809.0,612012.0,3906492.0,934784.0
3275.0,6923.0,13007.0,1231.0,1476.0,2898.0,5451.0,525.0,753.0,1658.0,3163.0,331.0,828.0,1629.0,941.0,101.0,362.0,760.0,3626.0,234.0,7.0,5.0,154.0,90.0,11.0,12.0,230.0,170.0,87.0,67.0,2242.0,2471.0,1634658.0,2299245.0,11432714.0,2610115.0,23598.0,33882.0,100352.0,13061.0,1114078.0,1576085.0,7431776.0,1680283.0,500506.0,696307.0,3916383.0,920693.0
5226.0,11539.0,20619.0,1901.0,2207.0,4839.0,8744.0,841.0,1296.0,2584.0,5187.0,542.0,1274.0,2735.0,1612.0,176.0,627.0,1307.0,5732.0,390.0,10.0,12.0,211.0,156.0,20.0,12.0,339.0,279.0,179.0,72.0,3376.0,3636.0,1593195.0,2222634.0,10976396.0,2472006.0,35057.0,53181.0,150178.0,19435.0,1073142.0,1523774.0,6919302.0,1526289.0,490609.0,657240.0,3932107.0,932302.0
3614.0,7445.0,13581.0,1291.0,1583.0,3226.0,5849.0,534.0,895.0,1738.0,3540.0,343.0,889.0,1751.0,1023.0,102.0,413.0,853.0,3810.0,211.0,2.0,8.0,150.0,88.0,12.0,8.0,237.0,206.0,126.0,70.0,2331.0,2616.0,1623877.0,2285927.0,11354490.0,2592100.0,25142.0,36455.0,104854.0,13761.0,1105965.0,1565092.0,7356078.0,1661545.0,496690.0,692034.0,3910488.0,920894.0
