ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,adu+sen-median,adu+sen-p1,adu+sen-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-16
0.0,0.0,1.858396295393604e-05,0.0,0.0,2.3985530040893227e-05,1.4913232104121475e-05,3.999457700650759e-06,2.5827006507592166e-05,7.433286255853713e-06,0.0,2.229985876756114e-05,1.0786322942508899e-05,4.622709832503813e-06,1.6949936052513983e-05,1.1920608745753283e-05,4.917251107623229e-06,2.0910734508175532e-05,2020-01-17
0.0,0.0,2.4372410431391666e-05,0.0,0.0,3.145643284051588e-05,3.253796095444685e-05,1.898047722342733e-05,5.151843817787418e-05,1.4866572511707426e-05,0.0,4.459971753512228e-05,2.465445244002034e-05,1.5409032775012712e-05,3.6249749603217394e-05,2.7814753740090994e-05,1.7880913118629925e-05,4.47519519996821e-05,2020-01-18
1.2186205215695833e-05,0.0,3.65586156470875e-05,1.572821642025794e-05,0.0,5.5441962881409113e-05,4.745119305856833e-05,2.982646420824295e-05,7.334598698481557e-05,2.229985876756114e-05,0.0,5.203300379097599e-05,3.3899872105027966e-05,2.465445244002034e-05,5.011787910072883e-05,4.1722130610136494e-05,2.7814753740090994e-05,6.263286511831202e-05,2020-01-19
1.2186205215695833e-05,0.0,4.29563733853277e-05,1.572821642025794e-05,0.0,6.291286568103177e-05,6.50759219088937e-05,3.6537418655097615e-05,9.646149674620383e-05,2.973314502341485e-05,7.433286255853713e-06,6.336876533115283e-05,4.6997549963788774e-05,2.846818805183599e-05,6.803087970168105e-05,5.562950748018199e-05,3.273200484771423e-05,8.47853297041701e-05,2020-01-20
1.2186205215695833e-05,0.0,5.514257860102354e-05,1.572821642025794e-05,0.0,9.515570934256028e-05,8.405639913232104e-05,4.595986984815618e-05,0.0001247288503253796,3.716643127926857e-05,1.0964097227384227e-05,8.176614881439084e-05,6.0095227822549576e-05,3.463180116184107e-05,9.334021603463946e-05,7.251703653666581e-05,4.1722130610136494e-05,0.00010559672580613105,2020-01-21
2.4372410431391666e-05,0.0,7.3117231294175e-05,3.145643284051588e-05,0.0,0.00011088392576281823,0.00010574837310195228,6.23644251626898e-05,0.00015726681127982648,4.831636066304913e-05,1.4866572511707426e-05,9.663272132609826e-05,7.781561551381419e-05,4.622709832503814e-05,0.00011483581675578222,9.238471777958794e-05,5.364273935588978e-05,0.00013718633898237732,2020-01-22
3.65586156470875e-05,0.0,8.530343650987083e-05,4.718464926077383e-05,0.0,0.00017301038062283736,0.00013286334056399133,7.720986984815618e-05,0.00019793926247288504,6.689957630268342e-05,2.229985876756114e-05,0.00013379915260536683,9.9388261398832e-05,5.774535032436014e-05,0.00014565388230580766,0.00011721931933324061,6.357657997735084e-05,0.0001739912184848906,2020-01-23
4.874482086278333e-05,5.788447477455521e-06,0.00010388739946380686,6.291286568103177e-05,0.0,0.00021351053790500117,0.00016540130151843817,9.476681127982647e-05,0.00024444143167028185,8.548279194231769e-05,2.973314502341485e-05,0.00016353229762878168,0.00012404271383885233,7.007257654437031e-05,0.0001951168775135984,0.0001460274571354777,8.344426122027299e-05,0.00020870999145689703,2020-01-24
4.874482086278333e-05,1.2186205215695833e-05,0.00012186205215695832,7.864108210128971e-05,0.0,0.0002524378735451397,0.00020336225596529283,0.0001165943600867679,0.0003197532537960951,0.00010406600758195198,4.459971753512228e-05,0.00018973463168066594,0.00015640168266637904,8.621353837619613e-05,0.00023818512411975898,0.00018377605149702978,0.00010216955079172709,0.00027685613812011975,2020-01-25
