ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-06
8.0,3.0,16.0,6.0,2.0,13.524999999999991,138.0,92.94999999999999,246.09999999999997,120.0,82.475,191.0,270.5,187.75,461.525,2021-06-07
7.0,2.0,13.524999999999991,5.5,1.0,11.524999999999991,126.0,76.375,219.82499999999987,101.5,64.475,173.0,239.0,163.425,412.5999999999998,2021-06-08
7.0,2.475,15.0,5.0,1.0,11.0,117.5,74.95,205.04999999999998,97.0,54.474999999999994,154.575,225.0,139.95,381.15,2021-06-09
6.0,2.0,15.0,5.0,1.0,11.574999999999974,113.5,73.475,187.0,93.0,55.0,157.77499999999992,219.5,136.95,366.92499999999984,2021-06-10
6.0,1.0,13.524999999999991,5.0,1.0,12.524999999999991,107.5,67.95,184.575,83.0,52.95,143.575,199.0,135.375,351.525,2021-06-11
6.0,2.0,11.524999999999991,5.0,1.0,13.049999999999983,104.5,63.0,170.67499999999995,79.0,53.425,133.14999999999995,192.5,129.47500000000002,313.09999999999997,2021-06-12
5.0,1.0,12.524999999999991,4.5,1.0,11.524999999999991,94.0,60.474999999999994,178.67499999999995,75.5,48.475,128.0,178.0,119.475,335.525,2021-06-13
5.0,1.0,11.524999999999991,4.0,1.0,10.0,90.5,55.0,169.62499999999994,68.5,46.0,124.62499999999996,169.0,108.9,312.2499999999999,2021-06-14
4.0,1.0,11.0,4.0,1.0,10.524999999999991,84.0,51.0,151.575,67.0,39.9,117.0,155.5,105.475,296.19999999999993,2021-06-15
4.0,1.0,11.0,4.0,0.4750000000000001,8.524999999999991,76.0,47.0,149.34999999999988,60.0,36.0,109.52499999999999,143.5,92.94999999999999,273.1749999999998,2021-06-16
4.0,1.0,11.0,4.0,0.0,9.524999999999991,72.0,44.474999999999994,134.52499999999998,56.0,33.425,105.24999999999991,138.5,88.94999999999999,259.525,2021-06-17
4.0,0.0,9.524999999999991,4.0,0.0,7.5249999999999915,72.0,39.95,134.34999999999988,53.0,27.475,103.04999999999998,128.0,81.475,239.575,2021-06-18
4.0,1.0,8.0,4.0,1.0,8.524999999999991,67.0,38.0,123.57499999999997,49.0,28.950000000000003,91.52499999999999,125.0,78.375,223.04999999999998,2021-06-19
4.0,0.4750000000000001,10.0,4.0,0.4750000000000001,9.0,63.5,36.0,116.14999999999995,48.0,24.475,81.52499999999999,121.5,68.475,209.14999999999995,2021-06-20
4.0,0.4750000000000001,9.0,4.0,0.0,8.524999999999991,55.5,33.474999999999994,107.09999999999997,43.0,24.0,78.04999999999998,106.0,65.95,195.04999999999998,2021-06-21
4.0,0.4750000000000001,8.0,3.0,0.0,8.0,56.5,28.950000000000003,112.09999999999997,42.0,21.475,79.0,101.5,61.425,203.34999999999988,2021-06-22
3.0,0.4750000000000001,7.5249999999999915,3.0,0.0,8.0,52.0,31.475,105.04999999999998,39.5,20.950000000000003,73.57499999999997,96.5,60.474999999999994,183.575,2021-06-23
3.0,0.0,8.0,3.0,0.0,8.0,51.0,29.0,99.67499999999994,37.0,18.475,74.04999999999998,91.5,52.375,179.82499999999987,2021-06-24
3.5,0.0,10.0,3.0,0.0,9.0,47.0,28.0,94.67499999999994,32.0,18.0,70.0,87.5,52.425,175.7249999999999,2021-06-25
3.0,0.0,8.0,3.0,0.4750000000000001,7.5249999999999915,46.0,22.0,90.57499999999997,33.0,18.475,65.0,84.0,47.85,165.62499999999994,2021-06-26
2.0,0.0,7.0,3.0,0.0,8.0,45.0,23.475,93.14999999999995,29.0,16.475,59.04999999999998,79.0,43.475,166.14999999999995,2021-06-27
3.0,0.4750000000000001,7.0,3.0,0.0,8.524999999999991,42.0,20.950000000000003,79.52499999999999,26.5,13.475000000000001,63.574999999999974,76.0,41.474999999999994,156.39999999999986,2021-06-28
