ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,adu+sen-median,adu+sen-p1,adu+sen-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-19
0.00014623446258835,5.4533268340238845e-05,0.00021935169388252499,0.00013368983957219252,6.291286568103177e-05,0.00025165146272412706,9.490238611713666e-05,5.653470715835141e-05,0.00012886388286334054,5.203300379097599e-05,1.839738348323794e-05,8.919943507024456e-05,9.707690648258008e-05,6.625884093255466e-05,0.00012408123642078985,8.344426122027299e-05,5.165597123159756e-05,0.00011041463850753973,2021-11-20
0.00031684133560809166,0.00017639532049719718,0.0004329149402875943,0.00031456432840515884,0.0001887385970430953,0.0005198175526895247,0.00022640997830802604,0.00014614967462039046,0.0002807077006507592,0.00012636586634951313,6.299710101836021e-05,0.00017486805916895853,0.00022651278179268688,0.0001639906313080728,0.00027582168667272756,0.0002026503486778058,0.00013907376870045496,0.0002423857111636501,2021-11-21
0.0005422861320984646,0.0002860711674384597,0.0007074092127711428,0.0005819440075495439,0.0004081472161056936,0.000849323686693929,0.0004175704989154013,0.00029128253796095445,0.0005058975054229934,0.0002378651601873188,0.00013732996357689736,0.0003384003567977402,0.00041373253000909135,0.000297586945467433,0.0004920104165061557,0.0003705322551804979,0.0002610116623288896,0.00043510221921999484,2021-11-22
0.0008042895442359249,0.000511820619059225,0.001042225201072386,0.0009594212016357345,0.0006523277760301982,0.0014395250078641081,0.0006792299349240781,0.00047451193058568327,0.000802874186550976,0.00038653088530439305,0.00023321935627741025,0.0005019326544265219,0.0006664406675192998,0.0004882352034762779,0.0007799281939072684,0.0006019907416605408,0.00042109550394373474,0.0007145908251048018,2021-11-23
0.0011820619059224957,0.0007241652449427249,0.0014885449670972452,0.0015335011009751495,0.001053790500157282,0.0020934256055363315,0.0010439262472885032,0.0007265455531453363,0.0012544061822125812,0.0006058128298520776,0.00041161822641789934,0.0007695309596372557,0.0010262415828158466,0.0007441792378692389,0.00121519484721944,0.0009337810184173405,0.0006674547513559692,0.0010990801263584525,2021-11-24
0.0017243480380209602,0.0010410065805508165,0.0021274067755301,0.0022963195973576597,0.0015802925448254168,0.00310003145643284,0.0015591106290672452,0.0011036469631236442,0.001845241323210412,0.000906860923214153,0.0006427934289749499,0.0011932282762209172,0.0015254942447262586,0.0010983558562029062,0.0017921475568978536,0.0013887509188802575,0.0009968609063636183,0.0016538851250670532,2021-11-25
0.0023763100170606875,0.001592737021691445,0.002952717523763099,0.0034287511796162315,0.002402485058194401,0.004672066687637621,0.00227765726681128,0.0016127982646420823,0.0027427467462039046,0.0013528580985653757,0.0009245149780718056,0.001731955697613915,0.002213507558130576,0.0015956823890164414,0.0026552460052082527,0.002035443943337373,0.001461218286213816,0.002431506168915025,2021-11-26
0.003351206434316354,0.002235254691689008,0.0039675237631001704,0.005009436929852154,0.003442513368983957,0.006488282478766908,0.0032849783080260305,0.0023596800433839478,0.003993017895878525,0.001969820857801234,0.0013900245298446444,0.0024979558462796397,0.003182735719678876,0.0023098910581382808,0.0038053762115352013,0.0029354499036417458,0.0021036397592037034,0.00353828502175511,2021-11-27
0.004612478674140872,0.0031525712893005118,0.005519436997319033,0.007352941176470588,0.005208398867568418,0.009303633217993079,0.0047207158351409975,0.003329175704989154,0.0057104799349240775,0.0028060655615847765,0.0019878465769716793,0.0035832156396342816,0.004580334992372529,0.003301500839792286,0.005429372698275729,0.004198041046629448,0.0029782647567202433,0.005084139630063773,2021-11-28
0.005873750913965391,0.004067145990738484,0.006983304898854496,0.009476250393205411,0.006524850581944007,0.011932604592639194,0.00613882863340564,0.004367746746203905,0.007432822668112798,0.0036534601947520997,0.0025629971010183604,0.004572400208132013,0.005915527682327381,0.0043037043314791135,0.007035494706997242,0.005473546182425049,0.0038853734130689607,0.006589911191464843,2021-11-29
0.007665123080672679,0.005317145990738484,0.008891359980502072,0.012590437244416483,0.00880976722239698,0.015896901541365208,0.00808297180043384,0.005752236984815619,0.009763015184381777,0.004801902921281498,0.0033568720731435367,0.005852969597859212,0.00781854323004145,0.005667673390141301,0.009298272647425922,0.0071921006099378145,0.005112004053006974,0.00860628216080901,2021-11-30
0.009724591762125274,0.0068955642213014865,0.011468437728491347,0.01643598615916955,0.01150361748977666,0.0205367253853413,0.010496203904555315,0.0075585683297180045,0.012697735900216918,0.0062439604549171185,0.004357949899650636,0.007630825838103022,0.01013452085612586,0.0074209131392822475,0.012114889748370494,0.009329863111676237,0.006703107305346393,0.011223650487751575,2021-12-01
0.012368998293931269,0.008958079454058005,0.014529003168413357,0.021209499842717836,0.014774693299779805,0.02645210758100031,0.013530368763557484,0.009723359544468547,0.016287079718004336,0.008042815728833717,0.005639820114472609,0.009685014494908198,0.013095366503844554,0.00958780837326841,0.015524292340169806,0.012058689130391593,0.008624610096755607,0.014383108497407267,2021-12-02
0.015519132342188642,0.011231416037046063,0.018420363148915427,0.027374960679458948,0.01890688895879207,0.033762582573136204,0.017357646420824296,0.012507659978308026,0.020810195227765723,0.010194752099903366,0.007202482717609455,0.012458931093436407,0.016758093594465076,0.012282154799143259,0.019903000138681296,0.015382552202332466,0.011089692646971173,0.018400750998350982,2021-12-03
0.0195954179868389,0.014231355106019986,0.023383499878137943,0.03519188424032715,0.023923403586033343,0.04329427492922302,0.022133947939262474,0.016064330260303687,0.02641702819956615,0.012855868579498997,0.009292536980599123,0.015642050100349362,0.021316085489313834,0.015589202890734547,0.025351903785999344,0.019656090437685018,0.014254365922953132,0.023424294200623842,2021-12-04
0.024695344869607606,0.01767304411406288,0.02954880575188886,0.0447074551745832,0.030602390688895878,0.05538888015099087,0.028195498915401303,0.020477833514099784,0.03345810737527114,0.016267746970935852,0.011649074555861146,0.019845945142347433,0.026936530193999723,0.019809351741991155,0.03214266452994745,0.024961754713607374,0.018118083563467308,0.029705709971589216,2021-12-05
0.030776261272239824,0.02194187180112113,0.03703753351206434,0.05645643284051589,0.03931031770997169,0.06998584460522175,0.03557754880694143,0.025934720715835143,0.042434856290672444,0.020601352858098564,0.014813982011447261,0.025033635620307738,0.0341148281122394,0.024980160870302172,0.04069467772007951,0.031422724653805655,0.022962370611725905,0.03762943794329764,2021-12-06
0.03841091883987326,0.027374482086278334,0.046164391908359734,0.07161843346964454,0.049600896508335955,0.0886233878578169,0.04453768980477223,0.03292380694143167,0.05364709869848155,0.025819519809707873,0.018795993458708096,0.031445774176763544,0.04276854091868654,0.03150669522474075,0.05151401451530887,0.03964993145649971,0.02914772614388175,0.047630381658156674,2021-12-07
0.0479649037289788,0.03407293443821594,0.057728186692663906,0.09042151620006292,0.06261324315822586,0.11136678200692039,0.05605341648590022,0.04148793383947939,0.06744976952277656,0.032319928640451946,0.02381959414257043,0.03928510369434327,0.05365425212259427,0.039529831887452425,0.06476655315345856,0.049722845846661236,0.0368268829594898,0.05979153835455863,2021-12-08
0.05966366073604679,0.042300146234462585,0.07267334876919328,0.1129993708713432,0.07874252909720038,0.13970509594212013,0.07023725596529284,0.05185452819956616,0.0847780639913232,0.04048167694937932,0.02986731584033301,0.04939920463837062,0.06720187373838545,0.049212945128434285,0.08152884570935481,0.06227624024000159,0.04607215941827429,0.07518953767905746,2021-12-09
0.0741469656349013,0.052363514501584205,0.09095874969534487,0.14154608367411137,0.09833202264863164,0.17559491978609626,0.08813449023861171,0.06466574023861171,0.10617340021691972,0.05052033003790976,0.03719746524938675,0.06168271017616887,0.08403932385164183,0.06120421591136724,0.10222356195201626,0.07798263564659369,0.057482913794131084,0.09421999483440285,2021-12-10
0.09251766999756277,0.06518218376797465,0.11375274189617351,0.1769031141868512,0.12325338156653036,0.21936536646744256,0.11011795010845987,0.08070498915401302,0.13257171908893708,0.06259198691741619,0.046430907604251836,0.07665743700289898,0.10476216157911768,0.07603240519592586,0.12761472024900997,0.09737249915562354,0.07170027616076928,0.11772117696143683,2021-12-11
0.11508652205703145,0.08069796490372898,0.1419613697294662,0.22117017930166719,0.1536037275872916,0.27413691412393837,0.1370200650759219,0.10004643438177874,0.16537005151843817,0.07803092247082435,0.05788541589236602,0.09480933620753736,0.13032266514630877,0.0942362512905065,0.15915288842319367,0.12144120159736158,0.08893906582162796,0.146670524308108,2021-12-12
0.1425603217158177,0.09960181574457713,0.17607878381671946,0.27637621893677256,0.19134397609311105,0.34024575338156654,0.1695715835140998,0.12386991594360086,0.2054813584598698,0.0967888203374712,0.07145692410614733,0.11744592284248867,0.16175015794258593,0.11657946438202074,0.1975903354546435,0.15025529970397156,0.10990324439234697,0.18215415333876384,2021-12-13
0.177163051425786,0.12241530587375092,0.21843742383621736,0.3442749292230261,0.23820580371185907,0.42323608052846806,0.21010574837310195,0.152558568329718,0.25532388828633407,0.11954954285289526,0.0885616591094923,0.14531535716940458,0.20022497187851518,0.14390696026010447,0.2453088740619751,0.18589493970158744,0.13549912582202528,0.2260891959549401,2021-12-14
