ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-10
22.5,10.475,40.52499999999999,5.0,1.0,9.0,59.0,29.475,93.04999999999998,75.0,37.95,122.09999999999997,162.5,89.425,258.525,2021-10-11
23.0,11.0,37.52499999999999,4.0,0.0,11.524999999999991,62.0,33.475,95.52499999999999,75.5,39.475,128.52499999999998,163.0,91.125,259.525,2021-10-12
23.0,10.0,39.52499999999999,5.0,2.0,11.0,61.5,31.475,100.52499999999999,77.0,41.95,120.52499999999999,165.5,95.425,255.04999999999998,2021-10-13
25.0,12.475,41.0,4.0,1.0,10.524999999999991,65.0,32.9,99.04999999999998,77.5,42.425,125.52499999999999,168.0,100.95,261.575,2021-10-14
24.0,13.0,41.04999999999998,4.5,1.0,9.0,64.5,38.95,101.0,79.0,47.0,125.04999999999998,171.0,107.475,264.62499999999994,2021-10-15
25.0,12.475,40.04999999999998,5.0,1.0,9.524999999999991,65.0,40.95,106.04999999999998,83.0,48.0,136.04999999999998,177.0,106.9,273.09999999999997,2021-10-16
27.0,10.95,41.0,4.0,1.0,9.524999999999991,65.5,43.425,99.04999999999998,86.0,46.0,133.575,185.0,112.475,267.04999999999995,2021-10-17
25.0,15.0,43.52499999999999,4.0,0.0,10.0,69.0,40.425,102.04999999999998,86.0,48.425,132.62499999999994,188.5,115.75,274.04999999999995,2021-10-18
27.0,17.0,44.0,5.0,1.0,9.524999999999991,67.5,41.0,107.52499999999999,87.5,53.0,136.575,187.0,116.275,288.2999999999999,2021-10-19
