ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-10
4871.5,3094.35,6704.725,3296.0,2148.475,4330.349999999999,6832.0,4294.925,9763.275,1504.0,913.975,2187.2,16451.0,10477.1,22983.425,2021-10-11
5000.5,3166.325,6818.1,3299.0,2214.025,4273.05,7022.5,4401.8,9824.574999999999,1504.0,928.075,2200.9249999999997,16754.0,10747.675,23034.399999999998,2021-10-12
5133.0,3352.0,6928.05,3332.5,2204.975,4264.525,7114.5,4576.35,10026.55,1544.5,942.35,2252.725,17087.0,11091.325,23421.3,2021-10-13
5306.5,3412.775,6963.299999999999,3396.0,2255.7,4286.25,7336.0,4630.075,10179.05,1621.5,959.425,2247.975,17526.5,11296.475,23705.449999999997,2021-10-14
5340.0,3437.075,7093.025,3407.0,2261.775,4265.05,7529.0,4852.95,10331.525,1621.0,1010.475,2290.575,17895.5,11667.675,23971.3,2021-10-15
5514.0,3581.275,7158.525,3427.5,2307.175,4332.599999999999,7805.0,4938.5,10495.625,1665.5,1042.9,2318.35,18362.0,11931.875,24248.625,2021-10-16
5614.5,3736.15,7273.5,3423.5,2330.075,4220.125,7958.5,5085.825,10603.1,1708.5,1084.275,2335.45,18727.5,12313.2,24337.825,2021-10-17
5768.0,3791.8,7343.775,3463.5,2335.25,4252.349999999999,8103.0,5319.175,10829.074999999999,1738.0,1097.15,2416.15,19009.5,12575.95,24747.075,2021-10-18
5846.5,3948.775,7416.4,3503.0,2381.45,4271.4,8371.5,5525.7,11019.199999999999,1798.0,1150.4,2425.725,19529.5,13049.55,25065.774999999998,2021-10-19
